S01A,S01B,S01C,S01D,S02A,S02B,S02C,S02D,S03A,S03B,S03C,S03D,S04A,S04B,S04C,S04D,S05B,S05C,S05D,S06A,S06B,S06C,S06D,S07A,S07B,S07C,S07D,S08A,S08B,S08C,S08D,S09A,S09B,S09C,S09D,S10A,S10B,S10C,S11A,S11B,S11C,S11D,S12A,S12B,S12C,S12D,S13A,S13B,S13C,S13D,S14B,S14C,S14D,S15A,S15B,S15C,S15D,S16A,S16B,S16C,S16D,S17A,S17B,S17C,S17D,S18A,S18B,S18C,S18D,S19A,S19B,S19C,S19D,S20A,S20B,S20C,S20D,S21A,S21B,S21C,S21D
0,0,2,2,1,0,2,5,2,0,0,7,1,2,5,1,1,4,6,6,2,3,1,13,3,12,13,10,5,13,24,11,20,11,15,1,3,3,3,0,2,0,2,4,7,2,0,1,4,1,41,56,38,9,3,1,0,16,23,10,11,6,7,11,35,6,3,8,8,2,0,1,0,9,1,7,1,0,0,1,0
0,0,3,11,0,0,0,0,0,0,0,0,7,2,2,6,0,0,1,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,5,1,0,4,8,6,4,0,0,2,0,0,0,0,0,0,6,0,0,0,1,0,2,0,0,0,0,2,1,0,3,0,5,6,2,2,7,5,1,1,3,1
3,1,1,0,0,5,2,2,2,5,7,0,0,1,0,0,2,3,3,0,4,5,4,1,2,1,1,0,3,5,0,5,1,2,0,0,1,1,7,1,2,1,0,3,0,0,0,2,1,2,6,9,2,0,1,3,0,1,4,5,4,1,2,2,0,0,1,4,2,1,1,0,0,1,1,1,1,0,0,0,1
0,0,1,1,0,0,0,0,1,1,0,1,3,1,0,3,0,0,0,1,2,2,3,0,2,2,1,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,2,0,0,0,1
2,4,5,6,5,4,6,10,5,8,14,1,2,1,0,1,6,9,1,4,7,5,1,1,2,4,2,3,5,2,3,11,7,11,8,0,0,6,5,3,4,2,1,2,2,3,2,1,5,1,1,4,1,2,3,9,4,7,3,3,10,3,10,0,1,5,0,3,4,4,6,6,7,2,0,0,3,7,11,8,5
1,1,36,31,17,27,32,31,35,41,29,6,25,25,21,17,13,10,6,23,26,20,20,1,0,9,43,1,3,2,5,19,17,6,7,22,9,25,29,61,33,47,9,16,15,13,1,6,2,5,0,1,1,6,12,30,11,9,23,30,27,34,5,1,0,37,26,45,116,55,67,54,42,22,47,47,38,16,33,22,26
0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,12,10,6,0,1,0,0,18,22,11,17,28,26,31,9,5,5,19,0,0,1,0,0,0,0,0,1,0,0,0,0,2,8,2,0,1,0,0,1,4,7,8,0,0,1,0
10,3,4,2,4,1,2,0,4,0,4,0,0,0,3,0,4,6,1,2,4,6,0,2,0,0,1,3,5,0,6,5,5,6,1,1,0,1,3,1,0,1,0,0,0,0,0,0,0,0,2,2,0,1,5,0,0,4,8,11,2,6,6,1,0,3,0,5,1,2,3,1,0,1,1,3,1,4,3,3,0
3,4,2,0,9,4,0,0,0,2,1,6,0,0,0,0,0,0,0,0,0,2,0,2,1,3,1,4,7,2,2,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,1,4,1,0,4,0,4,19,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,2,1,0,2,1,0,0,0,0,3,2,0,0,4,0,0,0,0,1,2,3,0,0,0,0,3,0,5,4,0,0,0,0,1,2,1,0,4,0,3,1,2,0,3,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5,1,0,2,4,1,1,1,2
1,2,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,5,0,3,1,0,0,0,0,1,1,1,0,2,1,0,0,0,0,1,2,0,2,0,1,0,1,0,0,0,0,0,1,3,0,0,1,0,0,0,0,2,0,1,0,0,0,4,0,1,2,2,0,2,1,0,2,3,0,0,1,0,0
2,0,0,2,5,3,0,0,2,3,4,0,3,2,0,1,0,1,1,3,3,4,4,0,0,2,3,1,0,0,1,0,1,4,2,2,2,2,2,0,2,0,0,0,0,1,0,0,1,4,0,4,2,4,0,1,2,3,1,2,5,1,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2
2,1,0,0,0,1,0,0,0,0,1,0,1,1,1,3,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,2,1
0,0,2,0,0,0,0,0,0,0,0,0,6,5,10,14,1,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,2,0,0,10,0,3,23,13,14,2,10,9,16,7,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,1,1,16,19,13,17,8,9,10,10,6,1,7,5
0,0,1,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,13,2,4,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,2,3,2,1,2
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,6,1,3,2,3,2,4,6,19,2,0,1,0,1,2,1,1,5,5,5,5,3,1,3,3,1,7,3,2,4,5,6,3,2,5,1,13,3,1,1,1,4,1,2,1,1,1,1,10,7,2,4,1,4,0,5,11,5,5,2,3,4,0,6,1,4,3,0,0,5,1,1,4,4,2,3,0,2,0
2,0,2,1,7,5,2,1,1,1,0,2,0,0,0,0,1,1,3,1,0,0,2,9,5,11,3,6,7,4,0,6,2,3,5,1,1,8,4,0,1,1,0,0,0,1,2,0,0,0,6,16,11,4,9,6,0,5,3,13,13,1,14,5,17,2,0,3,4,0,0,0,2,0,0,2,0,0,1,0,0
1,1,2,1,6,1,4,1,6,9,2,4,1,0,1,1,3,7,6,2,4,1,1,12,21,7,6,20,18,19,12,5,7,9,12,8,3,5,3,0,3,2,1,1,5,1,1,1,1,6,20,16,7,9,6,8,6,12,10,14,5,7,5,3,7,7,5,10,7,2,0,2,1,5,3,13,6,2,0,4,1
6,1,11,17,7,12,14,6,6,2,4,1,2,6,5,5,5,4,3,11,3,11,12,0,1,3,3,8,4,4,5,8,9,13,7,2,2,3,6,0,7,5,15,1,14,6,4,2,3,2,3,15,2,2,3,8,4,1,22,11,13,5,5,0,0,3,3,1,3,1,7,15,6,7,4,10,13,3,13,10,9
0,0,0,3,1,1,0,0,0,0,0,0,2,1,0,3,0,0,0,1,1,1,1,0,4,2,0,1,0,4,2,2,4,2,10,0,0,4,0,1,1,1,0,0,1,1,1,1,4,3,0,1,0,5,0,5,1,2,2,0,3,0,0,1,0,1,1,1,2,1,1,2,0,1,0,3,4,3,0,2,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,5,3,1,3,0,1,2,0,0,2,1,0,3
5,2,0,0,4,4,4,2,0,1,0,0,0,0,0,0,0,1,1,5,0,0,4,2,1,2,0,10,6,3,5,3,0,1,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,1,0,0,7,1,5,0,0,1,1,2,1,0,2,5,0,0,0,0,0,2,8,1,0,1,3,0
8,6,1,1,2,1,1,1,1,4,5,0,2,1,2,2,2,4,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,4,2,0,0,0,0,0,0,1,0,0,1,1,3,0,1,3,5,0,1,0,0,1
0,0,11,3,0,6,13,2,6,5,4,1,5,11,8,3,1,2,3,14,13,32,11,0,1,7,2,7,4,10,13,4,13,13,5,12,20,11,6,1,7,1,0,1,3,0,1,7,5,1,6,16,5,3,3,11,2,6,10,0,5,3,17,1,2,14,10,27,6,6,3,5,2,5,0,3,8,5,9,4,1
0,0,0,0,3,2,0,5,1,0,0,2,1,0,0,2,0,0,4,1,0,0,0,1,2,2,2,4,2,2,4,4,0,1,5,3,1,3,0,0,0,2,3,0,1,1,0,1,3,1,5,4,6,0,0,0,2,5,1,5,1,1,0,2,4,0,1,2,1,0,0,0,0,2,0,0,1,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,2,2,1,1,1,1,2,3,1,0,2,0,1,0,1,3,0,1,1,0,0,1,1,3,1,2,2,0,0,0,0,1,0,1,0,0,1,6,2,0,1,1,0,2,8,9,3,4,0,2,1
0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,2,1,0,0,2,2,1,0,2,0,1,0,1,0,1,0,0,0,0,1,2,3,3,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
0,0,2,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,6,5,8,0,4,0,2,0,2,1,4,1,5,1,6,0,0,0,3,0,6,4,0,0,0,0,1,0,0,0,2,4,1,7,0,0,3,1,1,3,4,3,1,0,0,2
0,0,1,0,1,1,0,1,0,1,0,4,0,2,1,3,1,0,1,1,0,2,0,4,1,2,8,1,0,10,12,2,0,0,1,3,9,2,1,4,1,1,0,1,1,14,0,0,0,0,5,1,3,0,0,1,3,3,3,2,3,0,1,2,8,0,0,2,5,0,1,11,2,3,0,3,7,0,0,1,3
0,0,3,2,0,4,0,4,2,2,0,7,0,1,0,0,0,0,1,1,2,1,3,8,6,4,4,5,12,13,16,1,0,0,1,6,12,5,1,1,5,4,1,1,6,2,2,5,2,0,23,21,24,1,0,0,0,7,5,2,2,3,0,1,9,2,3,4,12,0,0,1,1,6,0,16,5,0,0,0,0
1,0,1,0,0,0,0,1,3,0,1,0,0,0,5,0,2,1,0,0,0,0,0,0,2,0,0,1,2,2,1,1,0,0,0,2,8,15,4,3,4,0,2,0,1,1,6,0,0,0,1,1,0,3,2,2,0,5,7,4,0,8,5,5,4,4,5,7,9,0,1,0,2,1,2,2,3,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,1,1,3,3,0,3,1,2,1,5,2,2,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,4,0,2,0,0,0,0
0,0,1,2,0,0,0,0,0,0,0,0,1,1,4,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,3,0,2,5,4,6,8,11,15,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,2,1,1,4,1,2,1,0,0,0
0,0,19,12,1,9,22,5,6,3,2,0,0,6,11,13,1,3,2,2,3,9,0,2,1,1,2,0,1,6,2,5,1,6,1,1,1,5,6,2,3,3,2,0,2,0,1,0,3,1,6,7,1,3,2,4,14,0,1,2,2,11,0,0,0,4,9,7,4,4,8,14,4,6,4,13,16,7,8,9,10
0,0,0,0,4,3,4,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,2,2,1,1,2,1,1,3,9,1,2,2,0,0,1,0,2,1,2,0,2,2,5,6,0,0,1,3,2,0,0,1,2,2,0,0,1,3,0,1,1,0,0,0,0,3,0,4,3,0,0,0,1
0,0,2,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,1,6,2,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,5,1,1,3,0,0,0,2,0,0,1,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,5,1,1,3,0,1,0,0
1,2,5,4,2,7,12,7,5,6,6,1,1,0,0,0,3,2,3,1,2,1,1,1,3,3,0,4,1,5,5,4,4,5,5,3,4,2,3,2,2,2,22,8,20,14,10,10,11,14,2,7,5,1,0,2,4,2,3,0,1,3,4,3,2,1,2,0,2,0,0,0,4,0,0,2,2,1,2,2,0
0,0,0,0,1,5,0,2,3,2,3,3,0,0,0,0,2,1,3,1,0,1,6,5,0,4,0,4,11,3,4,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,6,0,1,0,0,7,3,4,2,0,5,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,8,8,4,0,0,0,0,3,3,4,8,2,1,0,1,4,0,2,3,1,2,0,15,11,12,6,5,3,1,7,0,9,2,0,1,0,0,0,0,0,0,0,13,3,5,0,2,2,0,5,4,7,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,0,0,0,0,0,2,0,4,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,3,2,1,2,0,0,0,2,2,1,1,0
0,0,1,1,0,1,0,0,1,0,0,0,0,4,2,2,0,1,1,1,1,0,1,4,0,5,0,2,1,1,3,1,0,3,1,2,0,1,0,0,3,0,3,0,3,0,1,1,5,1,0,1,0,2,0,2,3,0,2,1,2,3,2,1,0,1,3,1,6,2,4,0,2,4,1,1,4,0,2,0,2
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,1,0,0,0,1
0,0,1,4,0,0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,4,5,7,3,5,2,1,4,5,2,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,6,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,2,1,0,0,0,0
2,3,32,4,35,58,39,6,26,17,6,3,41,61,32,8,5,6,1,10,17,21,7,9,19,41,5,34,8,102,4,22,22,18,0,39,25,18,16,98,117,14,61,104,126,7,24,20,16,2,27,32,4,19,11,17,17,81,34,9,15,27,19,11,1,6,25,43,21,32,27,56,5,23,19,36,10,32,63,17,174
0,0,5,2,0,3,0,0,0,0,0,0,11,11,12,25,1,1,0,0,2,0,0,0,0,0,0,0,0,0,1,2,4,0,0,1,9,1,0,14,5,2,10,22,18,20,3,5,5,12,0,0,0,3,0,2,9,0,0,0,0,2,0,0,0,0,32,5,2,5,6,5,3,8,10,3,20,6,13,5,26
0,0,3,2,0,2,0,0,1,0,0,0,2,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,2,1,1,0,2,2,3,4,5,4,0,1,1,0,1,0,0,3,2,1,3,0,1,2,0,0,3,4,0,0,0,0,0,1,3,1,1,1,0,1,2,3,6,5,4,1,2,1,4
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,1,1,3,0,0,1,0,1,2,3,0,0,0,0,0,0,0,0,16,7,13,4,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,3,0,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,0,0,1,3,7,0,0,3,0,2,2,3,0,0,0,2,0,1,0,1,1,1,1,0,0,2,2,3,0,0,5,1,1,0,0,2,0,0,0,0,3,0,2,0,0,0,4,2,1,1,8,0,2,0,1
2,2,4,2,7,16,13,16,8,4,18,17,2,2,2,3,6,2,5,1,5,6,5,3,3,12,3,5,4,2,2,6,12,4,17,3,2,5,13,1,8,1,0,0,0,0,0,0,0,0,28,23,9,10,5,4,1,6,8,3,10,8,5,2,2,13,4,4,4,12,3,4,2,4,3,5,1,2,0,2,2
0,0,4,8,6,5,10,1,0,4,7,3,7,16,8,6,1,2,3,2,1,0,1,0,0,1,4,0,3,0,7,2,0,1,0,7,4,0,1,5,5,3,2,3,5,3,2,2,2,1,2,2,3,0,0,1,3,2,1,0,4,1,0,0,1,1,3,0,2,9,4,3,5,2,3,7,15,1,7,4,4
0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,1,2,1,0,4,0,0,0,2,2,3,3,0,3,7,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,1,0,2,1,4,3,5,1,3,3,17,0,0,1,1
0,0,0,0,0,1,1,14,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,3,4,3,0,0,0,0,3,1,3,0,0,2,0,1,2,4,5,4,2,2,2,2,1,7,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,2,1,1,1,1,0,0,1,1,2,0,0,1,0,2,4,0,0,2,1,0,0,0,2,3,0,1,1,1,1,8,4,2,10,0,1,0,0,0,2,3,0,0,1,0,3,4,2,0,6,1,0,0
0,0,5,2,0,0,0,0,0,0,1,0,6,4,3,5,0,0,0,4,0,1,0,0,2,1,0,5,0,1,2,4,0,0,1,2,3,4,0,1,0,0,3,12,13,5,1,4,3,1,0,0,0,0,0,3,0,1,0,0,0,7,0,0,0,0,2,3,1,11,6,8,2,2,6,5,5,2,2,3,1
0,0,2,0,0,0,0,3,1,0,0,0,3,3,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,5,8,0,2,1,1,8,12,3,7,6,5,6,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,2,2,0,1,1,0,0,0,1,0,0
0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,1,0,0,0,0,2,4,1,1,1,2,0,0,1,2,2,1,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1,1,3,0,0,4,2,1,0,2,1,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,4,3,2,0,0,1,2,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,8,6,2,2,1,1,2,4,2,3,0,7,6,8,1,0,2,3,0,0,0,0,2,2,5,2,0,0,0,0
0,0,0,2,5,2,2,17,3,0,1,3,0,1,0,1,0,0,1,0,1,2,3,2,1,0,2,1,2,0,1,0,0,0,0,3,1,1,1,0,6,3,63,50,56,46,11,6,6,5,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,1,5,3,0,0,0,0,0,1,1,1,2,1,0,0,0
0,2,11,0,1,0,3,0,0,1,1,0,1,4,3,1,0,0,1,2,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,0,0,0,1,0,3,32,0,1,0,0,0,0,0,0,2,4,5,5
1,1,16,12,6,12,17,2,0,3,6,0,22,15,36,14,9,12,11,5,5,4,0,2,7,4,1,1,0,4,7,3,3,6,7,2,4,3,0,7,10,1,0,1,3,1,3,5,2,2,0,0,0,10,5,18,10,2,11,7,11,8,3,0,1,4,15,3,16,15,10,24,14,4,24,36,37,5,10,13,13
0,0,4,2,0,6,0,0,0,2,1,0,6,14,4,4,1,0,2,0,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,3,3,3,0,2,4,1,1,1,0,1,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,7,0,2,23,10,5,5,1,1,0,3,2,8,2,3
0,0,1,2,0,0,3,2,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,1,1,1,2,5,0,2,7,4,1,9,2,19,16,10,2,7,14,9,0,3,6,13,0,0,0,0,0,4,1,1,2,4,1,6,10,1,6,5,0,3,9,2,0,1,0,5,8,3,3,5,3,3,9,3,3,2,4
1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6,0,3,3,14,1,3,3,5,1,2,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,2,2,1,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,4,1,2,0,3,2,0,1,5,4,3,0,2
0,0,0,0,0,0,5,3,1,1,1,28,0,3,0,6,0,0,0,1,1,0,3,3,1,1,1,4,8,7,14,0,0,0,0,8,3,10,3,1,3,3,0,0,0,0,0,1,1,0,21,19,45,0,0,0,0,6,2,1,7,1,0,15,10,3,0,1,2,0,1,1,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,2,1,0,0,0,4,2,0,1,0,0,0,0,0,0,0,2,1,2,0,0,0,2,0,0,1,0,1,7,7,8,0,3,3,4,2,3,6,7,8,6,10,7,2,3,3,2,1,1,4,1,1,0,3,1,1,1,2,1,5,4,7,0,0,0,0,0,7,13,4,1,1,3,0
0,0,4,0,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,3,1,3,1,0,0,1,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,2,0,2,1,1,1,2,2,1,1
0,0,1,0,1,1,0,0,0,1,5,0,0,0,2,2,0,0,1,2,0,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,2,0,2,3,3,0,0,0,0,0,2,2,1,2,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,3,0,2,2,0,2,2,0,0,0,0,1,3,3,0,1,0,1,2,4,3,6,3,2,2,3,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,3,1,1,2,2,1,3,5,5,0,0,0,2
2,3,14,19,7,20,9,23,5,8,6,23,6,13,8,36,1,2,17,8,7,11,16,9,11,18,20,7,15,27,36,12,9,8,11,14,10,16,15,5,3,10,3,10,3,10,3,4,1,5,10,8,29,5,8,5,9,8,12,6,18,9,3,1,6,4,4,6,9,15,10,13,7,4,2,4,7,4,14,16,26
0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,2,1,2,15,1,0,2,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2,3,2,4,4,1,0,0,1,1,2,0,2
0,0,0,1,0,1,1,1,0,0,2,1,1,4,1,2,0,0,0,1,0,1,2,0,0,1,1,0,0,3,3,4,0,0,0,2,0,0,0,2,1,2,0,0,4,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,1,1,1,2,2,0,3,0,0,0,6,0,0,0,3
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,2,0,0,0,0,0,0,0,5,1,1,0,0,2,3,4,0,0,0,1
3,0,13,10,4,12,8,1,14,4,11,1,18,11,9,6,1,4,2,3,5,7,6,0,0,0,0,1,0,0,1,0,0,2,0,1,0,0,4,5,11,6,6,3,4,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,6,0,0,0,2,4,5,7,13,9,5,1,11,9,8,10,3,5,4,3
0,0,3,0,0,3,4,1,3,2,0,2,0,2,2,4,0,1,0,5,2,6,6,0,0,1,0,0,0,4,1,3,1,0,0,6,3,1,1,3,4,2,1,4,4,9,0,1,0,2,0,0,0,0,0,4,5,1,2,1,1,2,0,0,0,0,1,0,1,5,2,3,2,3,1,1,10,2,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,1,2,1,3,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,1,1,0,0,1,2,1,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,7,7,2,0,1,5,5,4,8,4,0,4,6,4,2,3,1,0,4,7,3,3,0,0,0,1,0,0,1,0,5,2,2,0,0,0,0,19,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,1,1,1,1,0,2,2,5,4,0,1,0,1,1,2,2,0,0,2,2,0
0,0,0,0,0,7,10,3,0,3,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,3,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,3,2,0,0,0,0
8,5,6,0,1,3,2,7,2,3,1,5,0,0,0,0,2,1,2,3,0,1,0,13,0,5,4,1,8,0,3,7,9,8,1,1,0,2,4,0,1,0,0,0,2,1,0,0,0,0,18,13,2,10,6,0,1,8,10,2,2,2,4,11,3,3,0,1,0,0,1,1,0,1,3,1,1,0,1,0,0
