Rank1,Phylum,Class,Order,Family,Genus,Species
Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,NA,NA
Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,NA
Fungi,Zoopagomycota,Zoopagomycetes,Zoopagales,Piptocephalidaceae,Syncephalis,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
Fungi,Rozellomycota,NA,NA,NA,NA,NA
Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium_cereale
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,NA,NA
Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Dothideomycetes_fam_Incertae_sedis,Pseudoarthrographis,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Linnemannia,NA
Fungi,Rozellomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Cylindrotorula,Cylindrotorula_indica
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascodesmidaceae,Eleutherascus,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Kernia,Kernia_columnaris
Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,NA
Fungi,Basidiomycota,Cystobasidiomycetes,Sakaguchiales,Sakaguchiaceae,Sakaguchia,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,Oidiodendron_cereale
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Ochroconis,Ochroconis_tshawytschae
Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,NA,NA,NA
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,NA
Fungi,Basidiomycota,Agaricomycetes,NA,NA,NA,NA
Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Mrakia,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,NA,NA,NA,NA
Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Phaffomycetaceae,Barnettozyma,NA
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_prona
Fungi,Zoopagomycota,Zoopagomycetes,Zoopagales,Piptocephalidaceae,Syncephalis,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,Humicola_quadrangulata
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Striatibotrys,NA
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,NA
Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Cordanaceae,Cordana,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Dichotomopilus,Dichotomopilus_indicus
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago_coicis
Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis_rosea
Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Tetragoniomycetaceae,Tetragoniomyces,Tetragoniomyces_uliginosus
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,Chloridium_aseptatum
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
Fungi,Ascomycota,Leotiomycetes,NA,NA,NA,NA
Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Staphylotrichum,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Humicola,NA
Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,NA
NA,NA,NA,NA,NA,NA,NA
Fungi,Rozellomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Paracremonium,Paracremonium_binnewijzendii
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Torula,Torula_acaciae
Fungi,Ascomycota,Eurotiomycetes,NA,NA,NA,NA
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_merdicola
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Hapsidospora,Hapsidospora_irregularis
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,Mollisiaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Pseudophialocephala,Pseudophialocephala_humicola
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,NA,NA,NA
Fungi,Rozellomycota,NA,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,Mortierella_globalpina
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,NA
Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,NA,NA,NA
Fungi,Basidiomycota,Microbotryomycetes,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Coniochaetales,NA,NA,NA
Fungi,Chytridiomycota,Rhizophlyctidomycetes,Rhizophlyctidales,Rhizophlyctidaceae,Rhizophlyctis,Rhizophlyctis_rosea
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Dichotomopilus,Dichotomopilus_pratensis
Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Bensingtonia,NA
Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pyrenochaetopsidaceae,NA,NA
Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Operculomycetaceae,Operculomyces,Operculomyces_laminatus
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
Fungi,Zoopagomycota,NA,NA,NA,NA,NA
Fungi,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Leucosporidium_intermedium
Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Operculomycetaceae,Operculomyces,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,NA,NA,NA
Fungi,Glomeromycota,Paraglomeromycetes,Paraglomerales,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Cephalotrichum,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,Lecythophora_canina
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Melanommataceae,Pleotrichocladium,Pleotrichocladium_opacum
Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,Saitozyma_podzolica
NA,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Sclerostagonospora,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA
Fungi,Rozellomycota,Rozellomycotina_cls_Incertae_sedis,GS02,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Thermomyces,Thermomyces_lanuginosus
Fungi,NA,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Dactylella,Dactylella_arnaudii
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Sarcopodium,Sarcopodium_araliae
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Apiosporaceae,Nigrospora,NA
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella,Psathyrella_corrugis
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,Niesslia_aurantiaca
Fungi,Chytridiomycota,Chytridiomycetes,Chytridiales,NA,NA,NA
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_fam_Incertae_sedis,Calyptella,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,NA
Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Dichotomopilus,Dichotomopilus_erectus
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Torulaceae,Torula,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Setophoma_terrestris
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA
Fungi,Ascomycota,Laboulbeniomycetes,Pyxidiophorales,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Neopyrenochaetaceae,Neopyrenochaeta,Neopyrenochaeta_acicola
Fungi,Ascomycota,Sordariomycetes,Sordariales,Podosporaceae,Cladorrhinum,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Remersonia,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Keithomyces,Keithomyces_carneus
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,NA,NA
Fungi,Glomeromycota,Glomeromycetes,NA,NA,NA,NA
Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Chlamydocillium,Chlamydocillium_cyanophilum
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Bionectriaceae,Clonostachys,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Bradymyces,Bradymyces_graniticola
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Lecythophora,NA
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
Fungi,Ascomycota,Laboulbeniomycetes,Pyxidiophorales,Pyxidiophoraceae,Pyxidiophora,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metacordyceps,Metacordyceps_chlamydosporia
Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,NA,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,NA,NA
Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Cystofilobasidiaceae,Cystofilobasidium,Cystofilobasidium_macerans
Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Eremomycetaceae,Arthrographis,Arthrographis_kalrae
Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,NA
Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Protrudomycetaceae,Protrudomyces,NA
Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,Solicoccozyma_terrea
Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Thermomyces,Thermomyces_dupontii
Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Symmetrosporaceae,Symmetrospora,NA
Eukaryota_kgd_Incertae_sedis,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Occultifur,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,Trichoderma_compactum
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Ascomycota,Laboulbeniomycetes,Pyxidiophorales,Pyxidiophoraceae,NA,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Dacampiaceae,Aaosphaeria,Aaosphaeria_arxii
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Schizothecium,NA
Fungi,Ascomycota,NA,NA,NA,NA,NA
Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,Alphamycetaceae,Betamyces,NA
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Septoriella,Septoriella_oudemansii
Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Cordanaceae,Cordana,NA
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Armillaria_borealis
Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon_pratense
Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,NA,NA
Fungi,Ascomycota,Pezizomycetes,Pezizales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,NA,NA
Fungi,NA,NA,NA,NA,NA,NA
Fungi,Chytridiomycota,Lobulomycetes,Lobulomycetales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Thelonectria,Thelonectria_blackeriella
Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Chloridium,Chloridium_submersum
Fungi,Ascomycota,Sordariomycetes,Microascales,Microascaceae,Microascus,Microascus_cirrosus
Fungi,Ascomycota,Sordariomycetes,NA,NA,NA,NA
Fungi,Chytridiomycota,Rhizophydiomycetes,Rhizophydiales,NA,NA,NA
Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,NA,NA
Fungi,Rozellomycota,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,NA,NA
Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,NA,NA
Fungi,Ascomycota,Leotiomycetes,Helotiales,NA,NA,NA
Fungi,Ascomycota,Sordariomycetes,Sordariales,NA,NA,NA
